|  1 | 2019-01-01 | 2019-01-30 |
|  2 | 2019-01-31 | 2019-03-01 |
|  3 | 2019-03-02 | 2019-03-31 |
|  4 | 2019-04-01 | 2019-04-30 |
|  5 | 2019-05-01 | 2019-05-30 |
|  6 | 2019-05-31 | 2019-06-29 |
|  7 | 2019-06-30 | 2019-07-29 |
|  8 | 2019-07-30 | 2019-08-28 |
|  9 | 2019-08-29 | 2019-09-27 |
| 10 | 2019-09-28 | 2019-10-27 |
| 11 | 2019-10-28 | 2019-11-26 |
| 12 | 2019-11-27 | 2019-12-26 |
| 13 | 2019-12-27 | 2020-01-25 |
| 14 | 2020-01-26 | 2020-02-24 |
| 15 | 2020-02-25 | 2020-03-25 |
| 16 | 2020-03-26 | 2020-04-24 |
| 17 | 2020-04-25 | 2020-05-24 |
| 18 | 2020-05-25 | 2020-06-23 |
| 19 | 2020-06-24 | 2020-07-23 |
| 20 | 2020-07-24 | 2020-08-22 |
| 21 | 2020-08-23 | 2020-09-21 |
| 22 | 2020-09-22 | 2020-10-21 |
| 23 | 2020-10-22 | 2020-11-20 |
| 24 | 2020-11-21 | 2020-12-20 |
| 25 | 2020-12-21 | 2021-01-19 |
| 26 | 2021-01-20 | 2021-02-18 |
| 27 | 2021-02-19 | 2021-03-20 |
| 28 | 2021-03-21 | 2021-04-19 |
| 29 | 2021-04-20 | 2021-05-19 |
| 30 | 2021-05-20 | 2021-06-18 |
| 31 | 2021-06-19 | 2021-07-18 |
| 32 | 2021-07-19 | 2021-08-17 |
| 33 | 2021-08-18 | 2021-09-16 |
| 34 | 2021-09-17 | 2021-10-16 |
| 35 | 2021-10-17 | 2021-11-15 |
| 36 | 2021-11-16 | 2021-12-15 |
| 37 | 2021-12-16 | 2022-01-14 |
| 38 | 2022-01-15 | 2022-02-13 |
| 39 | 2022-02-14 | 2022-03-15 |
| 40 | 2022-03-16 | 2022-04-14 |
| 41 | 2022-04-15 | 2022-05-14 |
| 42 | 2022-05-15 | 2022-06-13 |
| 43 | 2022-06-14 | 2022-07-13 |
| 44 | 2022-07-14 | 2022-08-12 |
| 45 | 2022-08-13 | 2022-09-11 |
| 46 | 2022-09-12 | 2022-10-11 |
| 47 | 2022-10-12 | 2022-11-10 |
| 48 | 2022-11-11 | 2022-12-10 |
| 49 | 2022-12-11 | 2023-01-09 |
| 50 | 2023-01-10 | 2023-02-08 |
| 51 | 2023-02-09 | 2023-03-10 |
| 52 | 2023-03-11 | 2023-04-09 |
| 53 | 2023-04-10 | 2023-05-09 |
| 54 | 2023-05-10 | 2023-06-08 |
| 55 | 2023-06-09 | 2023-07-08 |
| 56 | 2023-07-09 | 2023-08-07 |
| 57 | 2023-08-08 | 2023-09-06 |
| 58 | 2023-09-07 | 2023-10-06 |
| 59 | 2023-10-07 | 2023-11-05 |
| 60 | 2023-11-06 | 2023-12-05 |
| 61 | 2023-12-06 | 2024-01-04 |
